,City,State,County,Zip,Lat,Lng,Population,Area,TimeZone,Job,Children,Age,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,TimelyResponse,Fixes,Replacements,Reliability,Options,Respectfulness,Courteous,Listening
24,Williamsburg,OH,Clermont,45176,39.08339,-84.02314,9434,Rural,America/New_York,Equality and diversity officer,3,75,28520.32,Widowed,Female,Yes,13.74777955,15,1,0,No,Month-to-month,No,Yes,None,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Credit Card (automatic),5.770390256000001,162.511928,870.7639800000001,3,3,4,2,4,4,3,4
25,Saint Augustine,FL,St. Johns,32086,29.75675,-81.30311,29568,Suburban,America/New_York,Counsellor,1,77,12558.83,Separated,Male,Yes,9.767668044,12,1,0,No,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,No,No,No,No,Bank Transfer(automatic),4.157658837,92.455141,774.2937069,4,4,4,4,2,4,5,5
26,Tohatchi,NM,McKinley,87325,36.00209,-108.62285,3089,Rural,America/Denver,Psychiatrist,1,47,8762.23,Married,Female,Yes,15.8626095,15,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Mailed Check,10.40566091,222.649979,1506.446527,5,3,5,3,3,5,4,4
27,Erie,MI,Monroe,48133,41.7812,-83.48594,5652,Urban,America/Detroit,"Surveyor, commercial/residential",0,70,43882.72,Widowed,Female,Yes,14.73616645,12,0,0,No,Month-to-month,Yes,No,None,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,1.3924215969999998,139.98157700000002,419.0508708,2,2,3,4,4,2,2,2
28,Moretown,VT,Washington,5660,44.24718,-72.74136999999999,1716,Urban,America/New_York,Civil Service administrator,3,20,10482.52,Separated,Female,Yes,13.43558029,13,2,0,Yes,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,No,Bank Transfer(automatic),1.4303863490000002,200.132293,1259.415493,3,4,3,3,2,4,4,2
29,Silver Spring,MD,Montgomery,20902,39.04373,-77.04224,52484,Suburban,America/New_York,"Radiographer, diagnostic",4,69,33442.79,Never Married,Male,Yes,10.61771118,18,1,0,No,Two Year,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit Card (automatic),5.425864884,257.651257,1745.1259559999999,4,4,4,3,2,5,5,4
30,Whitesboro,NY,Oneida,13492,43.11988,-75.32875,11268,Urban,America/New_York,Air traffic controller,9,45,43383.54,Married,Male,No,6.6130708060000005,14,0,0,No,Two Year,Yes,No,Fiber Optic,No,No,No,Yes,No,No,Yes,Yes,Yes,Credit Card (automatic),11.08287797,230.105118,1795.465729,3,2,1,5,3,3,3,2
31,Sherwood,OH,Defiance,43556,41.30608,-84.56989,1765,Rural,America/New_York,Dietitian,0,40,21793.88,Never Married,Female,No,4.4501716469999995,13,2,0,No,Two Year,No,Yes,None,Yes,Yes,No,Yes,No,Yes,No,No,No,Electronic Check,3.5861849539999997,147.489301,492.4771472,2,3,4,3,3,2,4,3
32,Pe Ell,WA,Lewis,98572,46.5512,-123.32437,680,Rural,America/Los_Angeles,"Therapist, occupational",6,82,51960.51,Divorced,Female,Yes,8.774646693,9,0,0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Electronic Check,4.727388465,230.105118,1013.993166,4,4,4,5,2,5,3,5
33,Seney,MI,Schoolcraft,49883,46.43517,-86.01334,136,Rural,America/Detroit,Building services engineer,5,74,25942.1,Separated,Male,Yes,11.13156721,8,1,1,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Electronic Check,20.89923386,174.95811799999998,2680.762173,5,5,4,3,5,3,4,1
34,Chatsworth,IL,Livingston,60921,40.73772,-88.28785,1517,Urban,America/Chicago,Information officer,4,69,11211.59,Widowed,Male,Yes,5.540788887000001,15,1,0,No,One year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,3.471329958,267.664655,1081.8143619999998,6,5,5,5,2,6,5,5
35,Albion,MI,Calhoun,49224,42.28109,-84.75184,14103,Suburban,America/Detroit,Outdoor activities/education manager,1,52,8283.29,Never Married,Male,Yes,13.80362698,11,0,1,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Mailed Check,5.478588203999999,162.48326699999998,1209.961168,4,2,3,4,3,3,4,3
36,Marlborough,CT,Hartford,6447,41.63306,-72.45472,6394,Suburban,America/New_York,Market researcher,2,26,10114.81,Never Married,Female,Yes,16.31017089,16,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Credit Card (automatic),3.3129918089999997,229.993134,897.5919144,4,3,5,5,2,4,5,5
37,Lafayette,NJ,Sussex,7848,41.103359999999995,-74.68406999999999,5059,Urban,America/New_York,"Surveyor, insurance",1,25,36229.21,Never Married,Female,No,9.447065309,9,2,0,No,One year,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Electronic Check,7.161561527000001,140.00128,1340.9301560000001,5,6,4,2,5,3,3,3
38,Washington,DC,District of Columbia,20017,38.93845,-76.99316999999999,20450,Suburban,America/New_York,Office manager,1,66,25397.44,Divorced,Female,No,16.84100845,12,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Credit Card (automatic),9.847563363999999,184.964681,1113.993679,4,4,3,4,2,4,4,5
39,Dublin,PA,Bucks,18917,40.37305,-75.2041,2123,Suburban,America/New_York,Editorial assistant,1,72,50336.5,Divorced,Male,No,7.972937227,10,1,1,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,Electronic Check,16.04202196,147.47384399999999,1530.10769,3,4,3,6,4,4,6,2
40,Mantoloking,NJ,Ocean,8738,40.02145,-74.06183,1164,Urban,America/New_York,Customer service manager,3,21,38211.37,Divorced,Female,No,11.42906608,12,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Mailed Check,9.179779682000001,172.45785700000002,1310.137419,5,2,3,3,3,5,4,4
41,Sproul,PA,Blair,16682,40.26608,-78.45782,23,Suburban,America/New_York,"Production designer, theatre/television/film",3,55,52887.26,Married,Male,No,8.06137096,16,2,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,Yes,No,No,Yes,Electronic Check,3.0028441439999995,107.48198899999998,892.8964931,3,3,2,3,5,4,3,3
42,Springer,OK,Carter,73458,34.35204,-97.25336,895,Suburban,America/Chicago,Analytical chemist,4,41,12003.33,Divorced,Male,Yes,12.54780492,11,1,2,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Credit Card (automatic),3.924254455,255.141716,1125.581944,3,3,3,5,1,4,3,4
43,Homer City,PA,Indiana,15748,40.52449,-79.08431999999999,6699,Suburban,America/New_York,Print production planner,4,32,24090.62,Never Married,Male,No,8.255565152,13,0,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Electronic Check,18.55959629,192.45674499999998,2016.7100309999998,3,3,3,3,4,3,3,4
44,New York,NY,New York,10035,40.7955,-73.92968,35743,Rural,America/New_York,Psychiatrist,0,22,15137.93,Never Married,Female,Yes,13.156514000000001,6,0,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Credit Card (automatic),8.798394712,242.632554,1412.736809,4,4,4,4,3,4,3,4
45,Sagola,MI,Dickinson,49881,46.07835,-88.03348000000001,320,Urban,America/Menominee,"Conservation officer, nature",2,44,54458.38,Divorced,Female,Yes,10.58349704,5,1,0,No,Month-to-month,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,10.377366,245.174977,1710.689671,3,3,2,2,4,3,5,2
46,Peoria,IL,Peoria,61606,40.6998,-89.61143,7870,Suburban,America/Chicago,Broadcast presenter,2,23,132116.33,Divorced,Male,Yes,12.50184778,11,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Bank Transfer(automatic),22.25746016,184.964681,2384.885909,4,4,5,2,2,4,3,3
47,Acme,WA,Whatcom,98220,48.68497,-122.19691999999999,861,Suburban,America/Los_Angeles,Applications developer,3,43,37358.13,Never Married,Female,Yes,9.750038902,11,1,0,Yes,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Credit Card (automatic),9.427146079,195.006206,1213.940165,4,5,3,4,3,3,4,3
48,Chattanooga,TN,Hamilton,37416,35.104440000000004,-85.17661,15364,Rural,America/New_York,"Librarian, public",1,86,26534.16,Separated,Female,No,7.8686608510000005,11,2,2,No,Two Year,Yes,No,None,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),7.760290062,104.962874,740.010722,3,4,3,2,3,3,3,3
49,Harvey,ND,Wells,58341,47.77527,-99.85,2589,Suburban,America/Chicago,Financial adviser,2,84,76430.83,Married,Female,No,12.43563329,14,0,1,No,Month-to-month,No,Yes,None,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,11.56938439,92.488023,897.9716152999999,3,3,4,3,5,3,3,4
50,Goodwater,AL,Coosa,35072,33.08977,-86.06138,4901,Urban,America/Chicago,"Surveyor, building",2,62,4662.37,Separated,Female,Yes,8.957166926000001,13,3,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Bank Transfer(automatic),3.343811019,184.97968400000002,1026.387172,2,2,3,4,3,5,2,4
51,Lexington,NC,Davidson,27292,35.73451,-80.20925,39649,Urban,America/New_York,"Horticulturist, amenity",5,68,43820.85,Divorced,Female,Yes,8.015021713,12,1,0,No,Month-to-month,Yes,No,None,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),7.338869531,187.656013,1234.244324,2,3,3,5,4,2,3,2
52,Transylvania,LA,East Carroll,71286,32.6644,-91.19645,456,Suburban,America/Chicago,Diagnostic radiographer,1,59,38391.55,Never Married,Female,No,4.210347704,8,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,Yes,Electronic Check,5.486534225,149.96209299999998,727.3731845,4,4,4,3,4,2,5,4
53,Jolley,IA,Calhoun,50551,42.47954,-94.75105,94,Urban,America/Chicago,"Doctor, general practice",0,31,44137.6,Separated,Female,Yes,11.13960534,6,0,0,Yes,One year,No,No,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),1.55278221,169.944668,452.87215039999995,4,4,3,4,4,4,2,3
54,Miller,NE,Buffalo,68858,40.95947,-99.37702,315,Urban,America/Chicago,Insurance risk surveyor,0,51,14364.65,Widowed,Male,Yes,9.03738856,11,2,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Mailed Check,12.07970325,160.00128,1296.6745429999999,4,2,4,5,4,3,3,4
55,Welch,WV,McDowell,24801,37.44262,-81.57762,4969,Suburban,America/New_York,Heritage manager,1,58,62359.91,Separated,Female,No,10.91594785,11,1,1,No,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,No,No,Mailed Check,13.98666226,129.96209299999998,1840.628269,3,4,3,6,3,4,5,3
56,Alvin,TX,Brazoria,77511,29.38147,-95.24205,46869,Suburban,America/Chicago,Legal executive,1,73,82634.86,Married,Male,Yes,8.387624096,11,0,1,No,Month-to-month,No,No,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Electronic Check,9.563362997,114.950905,1324.330108,5,4,3,5,3,3,5,4
57,Goleta,CA,Santa Barbara,93117,34.49127,-120.08221999999999,58431,Rural,America/Los_Angeles,Professor Emeritus,1,33,15690.25,Widowed,Female,No,11.4487514,11,0,1,No,Two Year,No,No,None,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Mailed Check,6.7329489460000005,142.515576,958.1397059000001,4,5,5,5,4,4,4,5
58,Racine,WI,Racine,53403,42.68864,-87.82515,26182,Suburban,America/Chicago,Radio producer,1,58,14568.7,Separated,Male,Yes,10.22013704,15,2,0,No,Two Year,Yes,No,None,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Credit Card (automatic),15.72071086,220.14775,1868.8640269999999,3,5,3,2,4,5,5,4
59,Chauncey,GA,Dodge,31011,32.12693,-83.06218,694,Rural,America/New_York,Barrister's clerk,0,49,29207.46,Never Married,Female,No,8.425458142,9,1,0,No,Two Year,No,No,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Yes,Electronic Check,7.233605493,124.97808,676.712908,5,5,3,4,4,5,5,4
60,Porum,OK,Muskogee,74455,35.3619,-95.26371,3093,Suburban,America/Chicago,"Engineer, automotive",1,26,55319.23,Never Married,Female,No,8.386280618999999,12,1,0,No,One year,No,Yes,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Mailed Check,2.8710170369999997,164.964681,1086.990308,5,5,4,4,3,4,4,4
61,Delavan,IL,Tazewell,61734,40.37342,-89.52646,2765,Urban,America/Chicago,Recruitment consultant,1,25,81831.49,Widowed,Male,No,9.565924291,10,3,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Electronic Check,2.3448753819999997,194.976769,704.7540406,3,4,3,2,3,4,2,4
62,Harveys Lake,PA,Luzerne,18618,41.37478,-76.03486,3757,Rural,America/New_York,Commercial horticulturist,0,42,100076.65,Separated,Female,Yes,10.79349982,14,3,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Mailed Check,7.960490246,152.45551899999998,1416.444695,5,5,5,4,3,2,4,4
63,Eagar,AZ,Apache,85925,34.088,-109.3232,4938,Rural,America/Phoenix,"Pharmacist, community",1,81,69965.65,Widowed,Male,No,6.081975067,15,0,0,No,Month-to-month,No,Yes,None,Yes,No,No,No,Yes,No,No,No,No,Mailed Check,12.25062113,92.5018,1095.950634,5,5,5,3,4,3,2,5
64,Aulander,NC,Hertford,27805,36.20782,-77.08433000000001,3761,Suburban,America/New_York,Forest/woodland manager,1,43,34883.69,Divorced,Female,No,13.55065547,13,0,0,Yes,Month-to-month,No,Yes,None,Yes,No,No,No,Yes,No,No,Yes,Yes,Electronic Check,9.634946079,127.48872800000001,1083.610268,4,4,4,3,4,4,3,3
65,Mokelumne Hill,CA,Calaveras,95245,38.29793,-120.62131000000001,1851,Urban,America/Los_Angeles,"Designer, graphic",2,63,45634.2,Never Married,Male,No,9.470419821,14,1,0,No,Two Year,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Bank Transfer(automatic),7.916533093,184.963371,1570.641337,3,4,3,3,4,4,4,3
66,Wheeling,IL,Cook,60090,42.1295,-87.92197,38476,Suburban,America/Chicago,"Civil engineer, consulting",3,70,10964.73,Married,Female,Yes,6.194985909,11,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Bank Transfer(automatic),4.471254161,265.146969,1007.4255529999999,3,3,2,4,4,3,3,3
67,Nevada,MO,Vernon,64772,37.82945,-94.33173000000001,13547,Urban,America/Chicago,Science writer,1,78,22365.28,Widowed,Male,Yes,10.80393657,19,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,Bank Transfer(automatic),10.79028074,207.609354,1323.028419,4,4,3,6,2,5,7,4
68,Slaton,TX,Lubbock,79364,33.452040000000004,-101.64305,7801,Urban,America/Chicago,Health and safety inspector,0,48,52636.6,Separated,Male,No,7.903964267,17,0,1,No,Month-to-month,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,No,No,Electronic Check,12.24190682,152.462354,1808.730555,3,1,2,2,5,2,2,1
69,Gillette,WY,Campbell,82716,44.48072,-105.68542,17823,Suburban,America/Denver,"Administrator, Civil Service",1,63,19048.13,Separated,Female,Yes,11.27443693,18,2,1,Yes,Month-to-month,Yes,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),2.2038594430000003,200.132293,1120.2414720000002,4,4,4,5,4,4,4,3
70,Roseburg,OR,Douglas,97470,43.22975,-123.23433,20269,Urban,America/Los_Angeles,Technical sales engineer,4,60,42784.82,Married,Female,Yes,6.1295093089999995,12,0,0,No,One year,Yes,Yes,None,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Electronic Check,23.92132231,212.65568599999997,2676.789803,5,5,6,5,3,7,5,5
71,North Royalton,OH,Cuyahoga,44133,41.31414,-81.74521999999999,30225,Rural,America/New_York,Special educational needs teacher,0,87,77996.88,Divorced,Male,Yes,7.969277912000001,17,0,0,Yes,One year,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Bank Transfer(automatic),3.7311787000000005,255.11979399999998,1268.0869089999999,3,3,4,5,4,3,5,4
72,Cadiz,OH,Harrison,43907,40.25609,-81.02123,5760,Suburban,America/New_York,Outdoor activities/education manager,3,54,47507.3,Married,Female,No,4.368120492,9,0,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Yes,Bank Transfer(automatic),7.980015371,134.950905,822.6771666,2,3,3,3,5,2,2,3
73,Homestead,MT,Sheridan,59242,48.43505,-104.4389,61,Urban,America/Denver,"Civil engineer, consulting",3,35,7724.73,Divorced,Male,Yes,6.258356397999999,9,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic Check,9.190009376,255.137219,1577.915603,4,3,2,3,3,3,3,4
74,San Diego,CA,San Diego,92131,32.89431,-117.08013000000001,34359,Urban,America/Los_Angeles,Maintenance engineer,1,70,1509.52,Never Married,Male,Yes,12.92303286,16,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Bank Transfer(automatic),2.378630018,214.966286,648.7471776000001,4,4,4,5,2,3,4,4
75,Inglewood,CA,Los Angeles,90303,33.9381,-118.3323,24693,Rural,America/Los_Angeles,Sports therapist,2,67,81124.71,Married,Female,Yes,12.43301273,13,0,0,No,One year,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Electronic Check,5.43464555,270.160419,1648.102673,3,3,4,3,5,3,3,4
